palabras,deportes,salud,politica,idf,tf-idf_deportes,tf-idf_salud,tf-idf_politica
derechos,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
dio,15,0,0,0.47712125471966244,0.1068181913551483,0.0,0.0
liga,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
pese,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
caso,14,14,35,0.0,0.0,0.0,0.0
jugador,26,0,0,0.47712125471966244,0.18515153168225706,0.0,0.0
partidos,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
alonso,13,0,0,0.47712125471966244,0.09257576584112853,0.0,0.0
formación,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
fútbol,37,0,0,0.47712125471966244,0.2634848720093658,0.0,0.0
presidenta,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
pedro,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
zonas,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
equipo,60,0,0,0.47712125471966244,0.4272727654205932,0.0,0.0
reforma,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
vez,38,22,0,0.17609125905568124,0.09987265438978936,0.05031178830162321,0.0
relación,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
comunidad,0,0,44,0.47712125471966244,0.0,0.0,0.34415303619123194
tenía,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
última,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
número,0,10,20,0.17609125905568124,0.0,0.022868994682556,0.057734839034649585
diciembre,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
real,40,0,0,0.47712125471966244,0.2848485102803955,0.0,0.0
pp,0,26,0,0.47712125471966244,0.0,0.16110587821702888,0.0
investigación,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
montero,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
primera,25,13,14,0.0,0.0,0.0,0.0
nadie,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
ejecutivo,0,15,0,0.47712125471966244,0.0,0.09294569897136282,0.0
metros,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
través,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
cuenta,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
octubre,0,14,0,0.47712125471966244,0.0,0.08674931903993863,0.0
carrera,33,0,0,0.47712125471966244,0.23500002098132627,0.0,0.0
generales,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
española,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
entrenador,21,0,0,0.47712125471966244,0.14954546789720763,0.0,0.0
mundial,18,0,0,0.47712125471966244,0.12818182962617797,0.0,0.0
juego,29,0,0,0.47712125471966244,0.20651516995328673,0.0,0.0
piloto,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
tipo,0,0,21,0.47712125471966244,0.0,0.0,0.16425485818217886
personas,0,0,57,0.47712125471966244,0.0,0.0,0.4458346150659141
espacios,0,0,15,0.47712125471966244,0.0,0.0,0.11732489870155634
comunidades,0,0,29,0.47712125471966244,0.0,0.0,0.22682813748967556
partido,49,30,0,0.17609125905568124,0.12878315960788628,0.06860698404766802,0.0
fuera,12,10,0,0.17609125905568124,0.03153873296519664,0.022868994682556,0.0
izquierda,0,14,0,0.47712125471966244,0.0,0.08674931903993863,0.0
messi,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
electoral,0,15,0,0.47712125471966244,0.0,0.09294569897136282,0.0
posible,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
club,28,0,0,0.47712125471966244,0.19939395719627684,0.0,0.0
país,0,25,20,0.17609125905568124,0.0,0.05717248670639001,0.057734839034649585
league,17,0,0,0.47712125471966244,0.12106061686916808,0.0,0.0
psoe,0,22,0,0.47712125471966244,0.0,0.13632035849133212,0.0
pandemia,0,0,24,0.47712125471966244,0.0,0.0,0.18771983792249014
ministerio,0,28,16,0.17609125905568124,0.0,0.06403318511115681,0.04618787122771967
marco,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
tratamiento,0,0,15,0.47712125471966244,0.0,0.0,0.11732489870155634
positivo,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
embargo,0,0,20,0.47712125471966244,0.0,0.0,0.15643319826874177
productos,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
kroos,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
gol,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
minutos,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
forma,18,12,14,0.0,0.0,0.0,0.0
futbolista,18,0,0,0.47712125471966244,0.12818182962617797,0.0,0.0
cataluña,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
cádiz,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
vacuna,0,0,37,0.47712125471966244,0.0,0.0,0.2894014167971723
virus,0,0,22,0.47712125471966244,0.0,0.0,0.17207651809561597
mundo,26,0,14,0.17609125905568124,0.06833392142459271,0.0,0.04041438732425471
sánchez,0,20,0,0.47712125471966244,0.0,0.12392759862848374,0.0
tres,30,29,15,0.0,0.0,0.0,0.0
casa,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
líder,0,18,0,0.47712125471966244,0.0,0.11153483876563537,0.0
tribunal,0,14,0,0.47712125471966244,0.0,0.08674931903993863,0.0
ministros,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
medida,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
gran,26,0,0,0.47712125471966244,0.18515153168225706,0.0,0.0
nivel,16,0,18,0.17609125905568124,0.04205164395359552,0.0,0.051961355131184626
muerte,14,0,0,0.47712125471966244,0.09969697859813842,0.0,0.0
pochettino,15,0,0,0.47712125471966244,0.1068181913551483,0.0,0.0
riesgo,0,13,27,0.17609125905568124,0.0,0.029729693087322807,0.07794203269677694
meses,0,17,17,0.17609125905568124,0.0,0.03887729096034521,0.049074613179452144
psg,25,0,0,0.47712125471966244,0.17803031892524718,0.0,0.0
personal,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
mantiene,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
hospital,0,0,17,0.47712125471966244,0.0,0.0,0.1329682185284305
millones,16,18,0,0.17609125905568124,0.04205164395359552,0.04116419042860081,0.0
puntos,21,0,0,0.47712125471966244,0.14954546789720763,0.0,0.0
ramos,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
edad,0,0,18,0.47712125471966244,0.0,0.0,0.1407898784418676
restricciones,0,0,17,0.47712125471966244,0.0,0.0,0.1329682185284305
sigue,15,0,0,0.47712125471966244,0.1068181913551483,0.0,0.0
final,31,0,0,0.47712125471966244,0.2207575954673065,0.0,0.0
actual,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
hecho,20,16,19,0.0,0.0,0.0,0.0
difícil,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
barcelona,19,0,0,0.47712125471966244,0.13530304238318785,0.0,0.0
marzo,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
mayores,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
vacunación,0,0,38,0.47712125471966244,0.0,0.0,0.2972230767106094
mejores,17,0,0,0.47712125471966244,0.12106061686916808,0.0,0.0
ver,24,0,0,0.47712125471966244,0.1709091061682373,0.0,0.0
menor,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
secretario,0,10,0,0.47712125471966244,0.0,0.06196379931424187,0.0
pablo,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
fiscal,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
grupo,0,0,20,0.47712125471966244,0.0,0.0,0.15643319826874177
total,0,0,19,0.47712125471966244,0.0,0.0,0.1486115383553047
pacientes,0,0,19,0.47712125471966244,0.0,0.0,0.1486115383553047
euros,15,33,0,0.17609125905568124,0.0394234162064958,0.0754676824524348,0.0
casado,0,21,0,0.47712125471966244,0.0,0.13012397855990793,0.0
mclaren,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
rival,15,0,0,0.47712125471966244,0.1068181913551483,0.0,0.0
popular,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
jugadores,22,0,0,0.47712125471966244,0.15666668065421752,0.0,0.0
nueva,0,11,14,0.17609125905568124,0.0,0.025155894150811604,0.04041438732425471
después,41,0,22,0.17609125905568124,0.10775733763108852,0.0,0.06350832293811455
sanitarios,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
cáncer,0,0,15,0.47712125471966244,0.0,0.0,0.11732489870155634
países,0,10,21,0.17609125905568124,0.0,0.022868994682556,0.06062158098638207
ayuso,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
vacunas,0,0,30,0.47712125471966244,0.0,0.0,0.23464979740311268
problemas,16,0,0,0.47712125471966244,0.1139394041121582,0.0,0.0
florentino,18,0,0,0.47712125471966244,0.12818182962617797,0.0,0.0
gobierno,0,77,32,0.17609125905568124,0.0,0.17609125905568124,0.09237574245543934
justicia,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
seis,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
momento,27,0,0,0.47712125471966244,0.19227274443926695,0.0,0.0
españa,23,32,34,0.0,0.0,0.0,0.0
todavía,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
medio,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
moncloa,0,14,0,0.47712125471966244,0.0,0.08674931903993863,0.0
seguridad,0,13,0,0.47712125471966244,0.0,0.08055293910851444,0.0
historia,25,0,0,0.47712125471966244,0.17803031892524718,0.0,0.0
región,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
benzema,20,0,0,0.47712125471966244,0.14242425514019774,0.0,0.0
centros,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
competición,19,0,0,0.47712125471966244,0.13530304238318785,0.0,0.0
sanidad,0,0,27,0.47712125471966244,0.0,0.0,0.2111848176628014
mascarillas,0,0,35,0.47712125471966244,0.0,0.0,0.2737580969702981
temporada,36,0,0,0.47712125471966244,0.25636365925235594,0.0,0.0
pudo,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
autónomas,0,0,19,0.47712125471966244,0.0,0.0,0.1486115383553047
ferrari,19,0,0,0.47712125471966244,0.13530304238318785,0.0,0.0
población,0,0,36,0.47712125471966244,0.0,0.0,0.2815797568837352
interior,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
últimos,17,0,18,0.17609125905568124,0.04467987170069524,0.0,0.051961355131184626
deporte,22,0,0,0.47712125471966244,0.15666668065421752,0.0,0.0
acuerdo,0,18,14,0.17609125905568124,0.0,0.04116419042860081,0.04041438732425471
supremo,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
tenido,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
medidas,0,12,34,0.17609125905568124,0.0,0.027442793619067204,0.09814922635890429
cómo,13,0,0,0.47712125471966244,0.09257576584112853,0.0,0.0
mascarilla,0,0,22,0.47712125471966244,0.0,0.0,0.17207651809561597
locales,0,0,14,0.47712125471966244,0.0,0.0,0.10950323878811925
necesidad,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
situación,0,10,14,0.17609125905568124,0.0,0.022868994682556,0.04041438732425471
cambio,12,0,0,0.47712125471966244,0.08545455308411865,0.0,0.0
vasco,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
fuentes,0,16,0,0.47712125471966244,0.0,0.099142078902787,0.0
día,28,15,19,0.0,0.0,0.0,0.0
casos,0,15,34,0.17609125905568124,0.0,0.03430349202383401,0.09814922635890429
órganos,0,0,13,0.47712125471966244,0.0,0.0,0.10168157887468215
hoy,14,10,0,0.17609125905568124,0.036795188459396076,0.022868994682556,0.0
proyecto,0,12,0,0.47712125471966244,0.0,0.07435655917709025,0.0
queda,0,0,20,0.47712125471966244,0.0,0.0,0.15643319826874177
agentes,0,15,0,0.47712125471966244,0.0,0.09294569897136282,0.0
política,0,17,0,0.47712125471966244,0.0,0.10533845883421118,0.0
enfermedad,0,0,16,0.47712125471966244,0.0,0.0,0.12514655861499344
año,58,15,12,0.0,0.0,0.0,0.0
manuel,0,11,0,0.47712125471966244,0.0,0.06816017924566606,0.0
